question,answer
"Chào bác sĩ, Lúc trước cháu bị mụn do dùng các phương pháp từ thiên nhiên làm cho da bị mỏng, nhạy cảm. Giờ thì đỡ mụn mà mũi và khóe mũi có nổi đỏ, chỗ có cả gân máu đỏ. Hai bên cánh mũi cũng hơi đỏ, buổi tối thì đỡ đỏ hơn, khi cười hoặc có chạm nhẹ vào là nổi đỏ liền. Bác sĩ tư vấn giúp cháu đỏ da kèm nổi mạch máu hai bên rãnh mũi má do dùng mỹ phẩm nên làm gì? Cảm ơn bác sĩ tư vấn.","Chào bạn, Với câu hỏi “Đỏ da kèm nổi mạch máu hai bên rãnh mũi má do dùng mỹ phẩm nên làm gì?”, bác sĩ xin được giải đáp như sau: Da bạn bị đỏ ở hai bên rãnh mũi má, thấy cả mạch máu,... có thể bạn bị bệnh viêm da dầu là biểu hiện viêm của các vùng da tiết bã dầu nhiều như: Rãnh mũi má, cung mày, da đầu, ngực, lưng,... Ngoài đỏ da, vùng da bị bệnh thường bong tróc, hơi ngứa,... Vì vậy, bạn nên đến cơ sở y tế thăm khám và tư vấn điều trị sớm nhất. Nếu bạn còn thắc mắc về việc đỏ da kèm nổi mạch máu hai bên rãnh mũi má do dùng mỹ phẩm, bạn có thể đến bệnh viện kiểm tra để chẩn đoán chính xác bệnh. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
"Chào bác sĩ, Mẹ em 42 tuổi gần đây hay mệt mỏi, khó thở, đo nhịp tim 52 nhịp/ phút chậm so với người bình thường. Đi chụp tim không sao nhưng chụp thấy có vết mờ ở phổi. Vậy bác sĩ cho em hỏi chụp X quang phổi thấy có vết mờ là dấu hiệu bệnh gì? Em cảm ơn bác sĩ.","Chào bạn, Với câu hỏi “Chụp X quang phổi thấy có vết mờ là dấu hiệu bệnh gì?”, bác sĩ xin giải đáp như sau: Theo như các triệu chứng bạn mô tả bệnh của người nhà, tốt nhất bạn nên đưa người nhà khám chuyên khoa Tim mạch và Hô hấp. Các bác sĩ cần thăm khám bệnh nhân, kết hợp xem phim, điện tim,.... từ đó mới có thể đưa ra chẩn đoán bệnh cho người nhà. Nếu bạn còn thắc mắc về chụp X quang phổi thấy có vết mờ, bạn có thể đến bệnh viện để kiểm tra và tư vấn thêm. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
Error,"Cleaned text: Chào bạn, Với câu hỏi “Cuống lưỡi nổi mụn nhỏ là dấu hiệu bệnh gì?”, bác sĩ xin giải đáp như sau: Triệu chứng nốt mụn đỏ vùng dưới lưỡi, đau khi chạm vào gợi ý tình trạng mụn viêm vùng lưỡi, nếu nốt mụn không to thêm và tự hết trong 7-10 ngày thì bạn không cần quá lo lắng. Trong trường hợp nốt mụn to dần hoặc nốt mụn tồn tại trên 02 tuần không hết thì bạn cần đến bác sĩ để khám kiểm tra. Đối với các nốt lớn mặt trên lưỡi thì bạn có thể đến phòng khám Tai mũi họng để bác sĩ khám kiểm tra và tư vấn cụ thể hơn. Nếu bạn còn thắc mắc về cuống lưỡi nổi mụn nhỏ, bạn có thể đến bệnh viện để kiểm tra và tư vấn thêm. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
"Chào bác sĩ, Em đi xét nghiệm chỉ số Triglyceride 3,9. Bác sĩ cho em hỏi chỉ số Triglyceride trong máu 3.9 mmol/L có nguy hiểm không? Mong được bác sĩ tư vấn sớm, em cảm ơn. 

(Age and personal information have been removed)","9 mmol/L có nguy hiểm không?”, bác sĩ xin giải đáp như sau: Triglyceride là một dạng mỡ trong cơ thể. Tăng triglycerides thường gặp ở những người béo phì/thừa cân, lười vận động, hút thuốc lá, đái tháo đường, uống quá nhiều rượu... Những người có triglycerides trong máu tăng cao thường đi kèm tăng cholesterol toàn phần, bao gồm tăng LDL (loại xấu) và giảm HDL (tốt). Hiện nay, các nhà khoa học cho thấy việc tăng triglyceride trong máu cũng có thể liên quan đến các biến cố tim mạch. Giá trị bình thường của Triglycerid: Trường hợp của bạn triglycerid ở mức cao, chưa đến mức nguy hiểm tuy nhiên cần đi khám và làm thêm một số xét nghiệm có liên quan để kiểm tra và được tư vấn phương pháp điều trị phù hợp như thay đổi chế độ ăn uống, luyện tập hay phải dùng thuốc phối hợp. Nếu bạn còn thắc mắc về chỉ số Triglyceride trong máu 3.9 mmol/L, bạn có thể đến bệnh viện để kiểm tra và tư vấn thêm. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
"Chào bác sĩ, tôi đi khám tổng quát, kết quả siêu âm vùng cổ như sau: Kết luận: Nhân giáp thùy trái (tirads 3). Nang giáp keo thùy trái (tirads 2) Kết quả vùng vú như sau: Mô tuyến vú 2 bên dày trung bình. Rải rác có vài nang echo trống d=3-8mm. Không dãn ống tuyến. Không hạch bệnh lý 2 nách. Xin bác sĩ tư vấn về kết quả siêu âm cổ và tuyến vú. Tôi rất hoang mang. Trong ăn uống có cần kiêng gì không ạ? Hay có cần điều trị, uống thuốc gì không? Cảm ơn bác sĩ!","Xin chào bạn! Theo kết quả siêu âm thì bạn có 1 nhân giáp hỗn hợp kích thước 6x5mm, TIRADS 3 tại thùy trái. Như vậy, nhân tuyến giáp này kích thước còn nhỏ. Bạn chỉ cần theo dõi định kỳ 6 tháng – 1 năm để đánh giá tiến triển của nhân giáp. Đối với nang tuyến vú, bạn nên khám thêm chuyên khoa sản để bác sĩ tư vấn cho bạn cụ thể hơn về kế hoạch điều trị và theo dõi. Xin cảm ơn! Bạn có thể đến khám khám tại bệnh viện trên toàn quốc để bác sĩ tư vấn rõ hơn. Cảm ơn bạn đã đặt câu hỏi cho DICA. Trân trọng!"
"Chào bác sĩ! Kỳ kinh nguyệt của cháu kéo dài 35 ngày, nhiều hơn 6 ngày so với bình thường. Bác sĩ cho cháu hỏi chu kỳ kinh nguyệt kéo dài 35 ngày có sao không? Mong bác sĩ tư vấn giúp cháu.",Chào bạn. Chu kỳ kinh nguyệt kéo dài 35 ngày cũng được coi là bình thường. Nhưng nếu bạn thường xuyên gặp chu kỳ kinh nguyệt rối loạn kéo dài trên 40 ngày hoặc dài ngày hơn nữa mà không mang thai thì nên gặp bác sĩ để được kiểm tra. Bạn có thể đến các cơ sở Y tế uy tín hoặc một trong các bệnh viện trên toàn quốc để được tư vấn cụ thể hơn. Cảm ơn bạn đã đặt câu hỏi cho DICA. Trân trọng!
Chào bác sĩ! Em mới sinh được hơn một tháng và bị nổi mề đay gây ngứa và khó chịu. Đặc biệt về chiều và đêm nổi nhiều hơn. Bác sĩ cho em hỏi đang cho con bú thì có sử dụng được thuốc không ạ? Và sử dụng loại thuốc nào để có thể giảm ngứa và nổi mề đay ? Em xin cảm ơn bác sĩ nhiều.,"Chào bạn! Nổi mề đay thường xuyên xảy ra ở phụ nữ đang cho con bú do thay đổi nội tiết tố. Tuy nhiên, bệnh này không thể tự ý điều trị được, bạn nên đến các bệnh viện để làm một số xét nghiệm tìm các nguyên nhân gây bệnh. Sau khi có định điều trị cụ thể từ bác sĩ thì bạn mới nên sử dụng thuốc để điều trị triệu chứng ngứa. Cám ơn bạn đã gửi câu hỏi đến Hệ thống Y Tế Vinmec. Trân trọng!"
"Chào bác sĩ! Em vừa uống hết vỉ đầu tiên của cuối chu kỳ tháng cũ. Vậy em phải ngừng bao lâu để bắt đầu uống vỉ thứ hai thuốc tránh thai hàng ngày? Do sử dụng lần đầu tiên nên còn chưa hiểu rõ. Mong bác sĩ hướng dẫn cho em, em xin cảm ơn. Chào bác sĩ. Nếu chưa uống hết vỉ thuốc 28 ngày nhưng có kinh tiếp thì ngày đầu chu kỳ bắt đầu uống vỉ mới ạ? Mong bác sĩ tư vấn. Chào bác sĩ. Cho em hỏi cách sử dụng thuốc tránh thai hằng ngày cho 28 viên. Uống viên đầu tiên của đầu chu kỳ kinh nguyệt. Tháng sau em lại có thì vẫn uống viên đầu tiên của đầu chu kỳ kinh nguyệt phải không ạ? Vấn đề em uống như trên thì dư 3 viên cuối thì có sao không vậy bác sĩ? Mong bác sĩ tư vấn. Em cảm ơn. Chào bác sĩ. Em uống viên đầu tiên của vỉ 1 của thuốc tránh thai hằng ngày vào giữa tháng ( là ngày bất kỳ của tháng đó thì có sao không ạ? Bây giờ em qua vỉ thứ 2 viên đầu tiên rồi, nghỉ 7 ngày rồi qua vỉ 2 luôn rồi, như vậy thì vẫn ngừa thai được bình thường chưa ạ? Mong bác sĩ tư vấn. Xin cảm ơn. Chào bác sĩ. Cách dùng thuốc tránh thai hằng ngày là dùng xong vỉ đầu thì dùng sang vỉ thứ hai luôn hay phải đợi có có kinh rồi mới bắt đầu uống vỉ thứ hai ạ? Mong bác sĩ tư vấn. Xin cảm ơn. Chào bác sĩ. Em đã uống hết vỉ thứ nhất thuốc ngừa thai hàng ngày 28 viên mà chưa có kinh trở lại.8 ngày rồi. Vậy khi nào em uống vỉ thuốc thứ 2? Cảm ơn bác sĩ.",Chào bạn! Để thuốc tránh thai hàng ngày phát huy tốt tác dụng trong việc ngừa thai chị em cần chú ý trong vấn đề sử dụng hàng ngày.
"Chào bác sĩ ạ! Con em là bé gái, cháu bắt đầu có kinh nguyệt vào lúc cháu vừa tròn 8 tuổi 8 tháng. Như vậy cháu có bị xem là dậy thì sớm không? Cháu bắt đầu phát triển ngực khoảng 8 tuổi. Cảm ơn bác sĩ đã tư vấn giúp em. Chào bác sĩ! Bé học lớp 4 có dấu hiệu dậy thì sớm. Xin bác sĩ cho biết 9 tuổi bé bị kinh có sớm so với tuổi của cháu không? Cảm ơn bác sĩ. Câu hỏi ẩn danh Chào bác sĩ ạ! Con em tháng 4 năm 2020 là tròn 9 tuổi. Cháu vừa mới có kinh nguyệt như vậy có phải là dậy thì sớm không. Có cách nào làm chậm lại không ạ? Mong bác sĩ tư vấn. Em cảm ơn.","Chào bạn! Dậy thì sớm ở bé gái được xác định có dấu hiệu phát triển ngực trước 8 tuổi, có kinh nguyệt trước 9,5 tuổi. Qua mô tả thì bé đang có dấu hiệu dậy thì sớm. Bạn nên đưa con đến gặp bác sĩ."
"Chào bác sĩ, cho em hỏi ho ra máu là biểu hiện của bệnh gì? Bệnh có tự khỏi không ạ? Em cảm ơn bác sĩ.","Chào bạn, Với câu hỏi “Ho ra máu là biểu hiện của bệnh gì?”, bác sĩ xin giải đáp như sau: Ho ra máu là 1 triệu chứng của bệnh lý hô hấp, tuy nhiên có thể là 1 biểu hiện của một số bệnh lý khác như dạ dày, thực quản. Ho ra máu số lượng nhiều là 1 tình trạng cấp cứu. Căn nguyên của ho ra máu từ phổi: Lao, ung thư, giãn động mạch phế quản,... Khi có triệu chứng ho ra máu, người bệnh nên đi khám, các bác sĩ sẽ cho bệnh nhân làm các xét nghiệm máu, chụp X - quang hoặc CT và nếu cần sẽ làm nội soi để biết được nguyên nhân. Nếu bạn còn thắc mắc về ho ra máu, bạn có thể đến bệnh viện để kiểm tra và tư vấn thêm. Cảm ơn bạn đã đặt câu hỏi cho DICA. Chúc bạn có thật nhiều sức khỏe. Trân trọng!"
